euring_code,scientific_name,language_code,common_name
00070,Tachybaptus ruficollis,sv,smådopping
00070,Tachybaptus ruficollis,tr,Küçük Batağan
00070,Tachybaptus ruficollis,uk,пірникоза мала
00080,Tachybaptus dominicus,cs,potápka nejmenší
00080,Tachybaptus dominicus,da,Dværglappedykker
00080,Tachybaptus dominicus,de,Schwarzkopf-Zwergtaucher
00080,Tachybaptus dominicus,en,Least Grebe
00080,Tachybaptus dominicus,es,Zampullín macacito
00080,Tachybaptus dominicus,et,ameerika väikepütt
00080,Tachybaptus dominicus,fi,kääpiöuikku
00080,Tachybaptus dominicus,fr,Grèbe minime
00080,Tachybaptus dominicus,hr,sivi gnjurac
00080,Tachybaptus dominicus,hu,törpevöcsök
00080,Tachybaptus dominicus,it,Tuffetto minuto
00080,Tachybaptus dominicus,lt,dominikinis mažasis kragas
00080,Tachybaptus dominicus,lv,pelēkais dūkuris
00080,Tachybaptus dominicus,nl,Amerikaanse Dodaars
00080,Tachybaptus dominicus,no,pygmédykker
00080,Tachybaptus dominicus,pl,perkozek białoskrzydły
00080,Tachybaptus dominicus,pt,mergulhão-anão
00080,Tachybaptus dominicus,ru,Южноамериканская поганка
00080,Tachybaptus dominicus,sk,potápka čiernohlavá
00080,Tachybaptus dominicus,sr,Dominikanski mali gnjurac
00080,Tachybaptus dominicus,sv,dvärgdopping
00080,Tachybaptus dominicus,tr,Amerika Küçük Batağanı
00080,Tachybaptus dominicus,uk,пірникоза домініканська
00090,Podiceps cristatus,be,Вялiкая коўра (або чомга)
00090,Podiceps cristatus,bg,Голям гмурец
00090,Podiceps cristatus,cs,potápka roháč
00090,Podiceps cristatus,da,Toppet Lappedykker
00090,Podiceps cristatus,de,Haubentaucher
00090,Podiceps cristatus,el,Σκουφοβουτηχτάρι
00090,Podiceps cristatus,en,Great Crested Grebe
00090,Podiceps cristatus,es,Somormujo lavanco
00090,Podiceps cristatus,et,tuttpütt
00090,Podiceps cristatus,fi,silkkiuikku
00090,Podiceps cristatus,fr,Grèbe huppé
00090,Podiceps cristatus,hr,ćubasti gnjurac
00090,Podiceps cristatus,hu,búbos vöcsök
00090,Podiceps cristatus,is,Toppgoði
00090,Podiceps cristatus,it,Svasso maggiore
00090,Podiceps cristatus,lt,ausuotasis kragas
00090,Podiceps cristatus,lv,cekuldūkuris
00090,Podiceps cristatus,mk,цуцулест нуркач
00090,Podiceps cristatus,nl,Fuut
00090,Podiceps cristatus,no,toppdykker
00090,Podiceps cristatus,pl,perkoz dwuczuby
00090,Podiceps cristatus,pt,mergulhão-de-crista
00090,Podiceps cristatus,ro,Corcodel mare
00090,Podiceps cristatus,ru,Чомга
00090,Podiceps cristatus,sk,potápka chochlatá
