place_code,country_code,active,latin_name
CZDO,CZE,false,Domazlice
CZFM,CZE,false,Frydek Mistek
CZHB,CZE,false,Havlickuv Brod
CZHK,CZE,false,Hradec Kralove
CZHO,CZE,false,Hodonin
CZJC,CZE,false,Jicin
CZJE,CZE,false,Jesenik
CZJH,CZE,false,Jindrichhuv Hradec
CZJI,CZE,false,Jihlava
CZJN,CZE,false,Jablonec nad Nisou
CZKA,CZE,false,Karvina
CZKH,CZE,false,Kutna Hora
CZKL,CZE,false,Kladno
CZKM,CZE,false,Kromeriz
CZKO,CZE,false,Kolin
CZKT,CZE,false,Klatovy
CZKV,CZE,false,Karlovy Vary
CZLI,CZE,false,Liberec
CZLN,CZE,false,Louny
CZLT,CZE,false,Litomerice
CZMB,CZE,false,Mlada Boleslav
CZME,CZE,false,Melnik
CZMO,CZE,false,Most
CZNA,CZE,false,Nachod
CZNB,CZE,false,Nymburk
CZNJ,CZE,false,Novy Jicin
CZOL,CZE,false,Olomouc
CZOP,CZE,false,Opava
CZOS,CZE,false,Ostrava
CZPA,CZE,false,Pardubice
CZPB,CZE,false,Pribram
CZPE,CZE,false,Pelhromov
CZPH,CZE,false,Praha-vychod
CZPI,CZE,false,Pisek
CZPJ,CZE,false,Plzen-jih
CZPM,CZE,false,Plzen-mesto
CZPR,CZE,false,Prerov
CZPS,CZE,false,Plzen-sever
CZPT,CZE,false,Prachatice
CZPV,CZE,false,Prostejov
CZPZ,CZE,false,Praha-zapad
CZRA,CZE,false,Rakovnik
CZRK,CZE,false,Rychnov nad Kneznou
CZRO,CZE,false,Rokycany
CZSM,CZE,false,Semily
CZSO,CZE,false,Sokolov
CZST,CZE,false,Strakonice
CZSU,CZE,false,Sumperk
CZSY,CZE,false,Svitavy
CZTA,CZE,false,Tabor
CZTC,CZE,false,Tachov
CZTP,CZE,false,Teplice
CZTR,CZE,false,Trebic
CZTU,CZE,false,Trutnov
CZUH,CZE,false,Uherske Hradiste
CZUL,CZE,false,Usti nad Labem
CZUO,CZE,false,Usti nad Orlici
CZVS,CZE,false,Vsetin
CZVY,CZE,false,Vyskov
CZZL,CZE,false,Zlin
CZZN,CZE,false,Znojmo
CZZR,CZE,false,Zdar nad Sazavou
DD--,DEU,false,German Democratic Republic
DD6+,DEU,false,Brandenburg
DD6-,DEU,false,Mecklenburg
DD60,DEU,false,Neubrandenburg
DD61,DEU,false,Rostock
DD62,DEU,false,Schwerin
DD63,DEU,false,Berlin (East)
DD64,DEU,false,Cottbus
DD65,DEU,false,Frankfurt (Oder)
DD66,DEU,false,Potsdam
DD7+,DEU,false,Sachsen & Thuringen
DD7-,DEU,false,Sachsen Anhalt
DD70,DEU,false,Halle
DD71,DEU,false,Magdeburg
DD72,DEU,false,Karl-Marx-stadt (Cemnitz)
DD73,DEU,false,Dresden
DD74,DEU,false,Erfurt
DD75,DEU,false,Gera
DD76,DEU,false,Leipzig
DD77,DEU,false,Suhl
DE--,DEU,true,Germany
DEA-,DEU,true,Bavaria
DEAB,DEU,true,Oberbayern
DEAF,DEU,true,Oberfranken
DEAM,DEU,true,Mittelfranken
DEAN,DEU,true,Niederbayern
DEAP,DEU,true,Oberpfalz
DEAS,DEU,true,Schwaben
DEAU,DEU,true,Unterfranken
DEB-,DEU,true,Baden-W?rttemberg
DEBB,DEU,true,Brandenburg
DEBE,DEU,true,Berlin
DEBF,DEU,true,S?dbaden
DEBK,DEU,true,Nordbaden
DEBS,DEU,true,Nordw?rttemberg
DEBT,DEU,true,S?dw?rttemberg
DEC-,DEU,true,Rheinland-Pfalz
DECK,DEU,true,Koblenz
DECR,DEU,true,Rheinhessen-Pfalz
DECT,DEU,true,Trier
DEDO,DEU,true,Saarland
DEE-,DEU,true,Hessen
DEED,DEU,true,Darmstadt
DEEG,DEU,true,Gie?en
DEEK,DEU,true,Kassel
DEF-,DEU,true,Nordrhein-Westfalen
DEFA,DEU,true,Arnsberg
DEFD,DEU,true,D?sseldorf
DEFK,DEU,true,K?ln
DEFL,DEU,true,Detmold
DEFM,DEU,true,M?nster
DEG-,DEU,true,Niedersachsen
DEGB,DEU,true,Braunschweig
DEGF,DEU,true,Ostfriesische Inseln
DEGH,DEU,true,Hannover
DEGL,DEU,true,L?neburg
DEGN,DEU,true,Neuwerk and Scharh?rn Islands
DEGW,DEU,true,Weser-Ems
DEHH,DEU,true,Hamburg
DEMV,DEU,true,Mecklenburg - Vorpommern
DEQ-,DEU,true,Schleswig-Holstein
DEQH,DEU,true,Helgoland
DEQN,DEU,true,Nordfriesische Inseln
DEQS,DEU,true,Schleswig-Holstein (mainland)
DEQT,DEU,true,Island Trischen
DERA,DEU,true,Sachsen Anhalt
DERH,DEU,true,Halle
DERM,DEU,true,Magdeburg
DERS,DEU,true,Dessau
DESC,DEU,true,Chemnitz
DESD,DEU,true,Dresden
DESL,DEU,true,Leipzig
DESN,DEU,true,Sachsen
DETH,DEU,true,Th?ringen
DEXB,DEU,true,Bremen
DF--,DEU,true,Germany
DF63,DEU,false,Berlin
DFA-,DEU,false,Bavaria
DFAB,DEU,false,Oberbayern
DFAF,DEU,false,Oberfranken
DFAM,DEU,false,Mittelfranken
DFAN,DEU,false,Niederbayern
DFAP,DEU,false,Oberpfalz
DFAS,DEU,false,Schwaben
DFAU,DEU,false,Unterfranken
DFB-,DEU,false,Baden-W?rttemberg
DFBF,DEU,false,S?dbaden
DFBK,DEU,false,Nordbaden
DFBS,DEU,false,Nordw?rttemberg
DFBT,DEU,false,S?dw?rttemberg
DFC-,DEU,false,Rheinland-Pfalz
DFCK,DEU,false,Koblenz
DFCR,DEU,false,Rheinhessen-Pfalz
DFCT,DEU,false,Trier
DFDS,DEU,false,Saarland
DFE-,DEU,false,Hessen
DFED,DEU,false,Darmstadt
DFEG,DEU,false,Gie?en
DFEK,DEU,false,Kassel
DFF-,DEU,false,Nordrhein-Westfalen
DFFA,DEU,false,Arnsberg
DFFD,DEU,false,D?sseldorf
DFFK,DEU,false,K?ln
DFFL,DEU,false,Detmold
DFFM,DEU,false,M?nster
DFG-,DEU,false,Niedersachsen
DFGB,DEU,false,Braunschweig
DFGF,DEU,false,Ostfriesische Inseln
DFGH,DEU,false,Hannover
DFGL,DEU,false,L?neburg
DFGN,DEU,false,Islands Neuwerk and Scharh?rn
DFGW,DEU,false,Weser-Ems
DFHH,DEU,false,Hamburg
DFQ-,DEU,false,Schleswig-Holstein
DFQH,DEU,false,Helgoland
DFQN,DEU,false,Nordfriesische Inseln
DFQS,DEU,false,Schleswig-Holstein
DFQT,DEU,false,Island Trischen
DFXB,DEU,false,Bremen
DK--,DNK,true,Denmark
DK00,DNK,false,Anholt
DK01,DNK,false,Fyn/Langeland
DK02,DNK,false,Jylland
DK03,DNK,false,Laes?/Aer?
DK04,DNK,false,Falster/Lolland/Maribo
DK05,DNK,false,Sams?
DK06,DNK,false,M?n/Saltholm/Sjaelland
